Team Code,Stadium,Capacity,City,Team,CSA,States
ARI,Chase Field,"48,686","Pheonix, AZ",Arizona Diamondbacks,,AZ
ATL,SunTrust Park,"41,084","Cumberland, GA",Atlanta Braves,122,GA
BAL,Oriole Park,"45,971","Baltimore, MD",Baltimore Orioles,548,MD
BOS,Fenway Park,"37,755","Boston, MA",Boston Red Sox,148,MA
CHC,Wrigley Frield,"41,649","Chicago, IL",Chicago Cubs,176,IL
CHC,Wrigley Frield,"41,649","Chicago, IL",Chicago Cubs,176,IN
CHC,Wrigley Frield,"41,649","Chicago, IL",Chicago Cubs,176,WI
CHW,Guranteed Rate Field,"40,615","Chicago, IL",Chicago Whtie Sox,176,IL
CHW,Guranteed Rate Field,"40,615","Chicago, IL",Chicago Whtie Sox,176,IN
CHW,Guranteed Rate Field,"40,615","Chicago, IL",Chicago Whtie Sox,176,WI
CIN,Great American Ball Park,"42,319","Cincinnati, OH",Cincinnati Reds,178,OH
CIN,Great American Ball Park,"42,319","Cincinnati, OH",Cincinnati Reds,178,KY
CIN,Great American Ball Park,"42,319","Cincinnati, OH",Cincinnati Reds,178,IN
CLE,Progressive Field,"34,788","Cleveland, OH",Cleveland Indians,184,OH
COL,Coors Field,"46,897","Denver, CO",Colorado Rockies,216,CO
DET,Comerica Park,"41,083","Detroit, MI",Detroit Tigers,220,MI
HOU,Minute Maid Park,"41,168","Houston, TX",Houston Astros,288,TX
KCR,Kauffman Stadium,"37,903","Kansas City, MO",Kansas City Roaysl,312,KS
KCR,Kauffman Stadium,"37,903","Kansas City, MO",Kansas City Roaysl,312,MO
LAA,Angel Stadium,"45,517","Anaheim, CA",Los Angelos Angels,348,CA
LAD,Dodger Stadium,"56,000","Los Angeles, CA",Los Angeles Dodgers,348,CA
MIA,Marlins Park,"36,742","Miami, FL",Miami Marlins,,FL
MIL,Miller Park,"41,900","Milwaukee, WI",Milwaukee Brewers,376,WI
MIN,Target Field,"38,544","Minneapolis, MN",Minnesota Twins,378,MN
MIN,Target Field,"38,544","Minneapolis, MN",Minnesota Twins,378,WI
NYM,Citi Field,"41,922","Queens, NY",New York Mets,408,NY
NYM,Citi Field,"41,922","Queens, NY",New York Mets,408,NJ
NYM,Citi Field,"41,922","Queens, NY",New York Mets,408,CT
NYM,Citi Field,"41,922","Queens, NY",New York Mets,408,PA
NYY,Yankee Stadium,"47,309","Bronx, NY",New York Yankees,408,NY
NYY,Yankee Stadium,"47,309","Bronx, NY",New York Yankees,408,NJ
NYY,Yankee Stadium,"47,309","Bronx, NY",New York Yankees,408,CT
NYY,Yankee Stadium,"47,309","Bronx, NY",New York Yankees,408,PA
OAK,Oakland-Alameda County Coliseum,"46,847","Oakland, CA",Oakland Athletics,488,CA
PHI,Citizens Bank Park,"42,792","Philadelphia, PA",Philadelphia Phillies,428,PA
PHI,Citizens Bank Park,"42,792","Philadelphia, PA",Philadelphia Phillies,428,NJ
PHI,Citizens Bank Park,"42,792","Philadelphia, PA",Philadelphia Phillies,428,DE
PHI,Citizens Bank Park,"42,792","Philadelphia, PA",Philadelphia Phillies,428,MD
PIT,PNC Park,"38,747","Pittsburgh, PA",Pittsburgh Pirates,430,PA
SDP,Petco Park,"40,209","San Diego, CA",San Diego Padres,,CA
SFG,Oracle Park,"441,915","San Francisco, CA",San Francisco Giants,488,CA
SEA,T-Mobile Park,"47,929","Seattle, WA",Seattle Mariners,500,WA
STL,Busch Stadium,"45,494","St. Louis, MO",St. Louis Cardinals,476,MO
STL,Busch Stadium,"45,494","St. Louis, MO",St. Louis Cardinals,476,IL
TBR,Tropicana Field,"25,000","St. Petersburg, FL",Tampa Bay Rays,,FL
HOU,Global Life Park,"48,114","Arlington, TX",Texas Rangers,206,TX
TOR,Rogers Center,"49,282","Toronto, ON",Toronto Blue Jays,,ON
WSH,National Park,"41,339","Washington, D.C.",Washington Nationals,548,DC
